,Parameters,Parameters,Parameters,2010-2016,2010-2016,2010-2016,2017-2020,2017-2020,2017-2020
,localDEV Weight,Intervention Threshold,Probability(Intervention = Success),GlobalDEV Weight,GlobalDEV Stdev,GlobalDEV Pvalue,GlobalDEV Weight,GlobalDEV Stdev,GlobalDEV Pvalue
Generation,,,,,,,,,
0,0.048377681910915356,0.2278992072460986,0.6731626638034945,0.17841368217418357,0.0060705156864731945,7.327059382095468e-190,0.18279593428204569,0.007043064167181312,1.6372671252862166e-148
1,0.029373011100297185,0.18931808847935264,0.7510410424229816,0.12166815831948814,0.004055617451813138,9.840006037836679e-198,0.14100082004620876,0.005086839994089811,4.1506886647943006e-169
2,0.01926049664752535,0.2330756343193381,0.06043305489503746,0.08764808525699026,0.0032243545851667827,1.0278520289428163e-162,0.09115406926630523,0.004328687818702916,1.9263105859463025e-98
3,0.02081142967775168,0.24759325461473705,0.8000254009613554,0.09315983896171784,0.003609157335486976,6.490099832473703e-147,0.1174503518601907,0.004483928758698382,3.141103042693469e-151
4,0.031205746911210502,0.1303071983975922,0.889504536288621,0.12962279281848346,0.00412664684292429,1.4243428511047558e-216,0.14940129391738996,0.0053263261531997855,4.0401653981390895e-173
5,0.013349525267671719,0.23498338942445876,0.44603327153766265,0.057410785860404885,0.0027521332289278124,1.2246853716033821e-96,0.07699927037621383,0.0034109023511433483,7.725180559668446e-113
6,0.0461770821221782,0.24094615564931637,0.47713941980162383,0.16946375486945986,0.005441941289878457,6.860333637476051e-213,0.18373123152124524,0.0070757566954364175,1.1901971651076218e-148
7,0.010555880527954715,0.1297798367891583,0.814209585944181,0.04723762507368894,0.002605404814176989,1.8266166474284623e-73,0.0700441029346159,0.003408662320372652,7.880222009146902e-94
8,0.014211448393234852,0.21938885308261674,0.3632295329949605,0.0654469825974934,0.0029288934922199077,1.3416573959764892e-110,0.08127528018960928,0.003496977408800057,1.7307047163716103e-119
9,0.03153685701804158,0.13995614090985065,0.7861317931216222,0.12541770790952098,0.00448513029300713,4.58112060795526e-172,0.14931170236656838,0.005467795683261044,3.457442714105292e-164
10,0.021776485847000877,0.2411743960706296,0.4345453850508539,0.09067024609512989,0.00365277121256225,5.148489686874118e-136,0.10998104775797604,0.0043558788663055166,1.1652014625272323e-140
11,0.01187081946508388,0.14014607213295452,0.9939130285501209,0.05203716844364829,0.0028657413938234268,1.1026665305457152e-73,0.07620456560618397,0.003557367349246508,8.401869067582695e-102
12,0.030371200255608632,0.14427422126344633,0.8740101294152579,0.12187700275118955,0.00410295346341652,6.677027789135398e-194,0.13917541356262475,0.005087767194017552,9.440143305633023e-165
13,0.02526271589858274,0.15092728998518604,0.6905191012295772,0.10938996411000479,0.0038175280983279722,1.4025152518163165e-180,0.12035374284690482,0.0047485313028405645,1.0082444111942327e-141
14,0.02559193288423882,0.23976742760462863,0.6576453726127734,0.11175934513815322,0.0038109465426127173,4.853328104234773e-189,0.12700689024230924,0.004934151076068018,4.131584686162379e-146
15,0.041501715640452186,0.10273965566514859,0.07061580412366052,0.15556761896609986,0.005008876349534402,8.790318870972161e-212,0.1705830126423679,0.007318377493350041,3.605111429009648e-120
16,0.02084032842817804,0.21045930109886946,0.0645747777210234,0.08593556883810455,0.0033587082431021185,2.1897623155867805e-144,0.10376982064098474,0.004396337594358643,3.531518526726456e-123
17,0.046829663276672207,0.1470091344555921,0.9776659628967351,0.16819970291347408,0.00540718975359273,1.956448650438466e-212,0.184230531187105,0.006800317286671144,1.241350731986875e-161
18,0.02078952760812454,0.15637506590838107,0.0869776324883572,0.08534841435832836,0.0032133823261874,1.9526148049973895e-155,0.09863827141730581,0.004693064340986354,4.500759944292192e-98
19,0.04544573238423252,0.2453150439330187,0.9140609048135142,0.16715809697291498,0.005354806467942302,6.371218993287261e-214,0.1730475368674699,0.006430933979083592,1.741229879313061e-159
20,0.03692427224226111,0.14754796865170516,0.38254864157793234,0.14424948186733924,0.0049529306772276935,1.780108031770085e-186,0.15147214368266726,0.005873989829455577,1.2429387944301262e-146
21,0.04387179612507915,0.10773814407943488,0.7223752491807689,0.1657418693780838,0.005390851621815192,1.4251113041492496e-207,0.17784404711107202,0.006833520550774058,2.565513504330238e-149
22,0.04605924713902659,0.23554309909703955,0.4041481232941492,0.16569744700755468,0.005905338270954201,3.108700345614547e-173,0.17099305438290174,0.006517891859617022,1.0766730759870439e-151
23,0.038549937781861325,0.14364119872181624,0.9697219185375197,0.15215035080956843,0.005262619263499844,8.552986389477242e-184,0.1711697208044001,0.006060129097914171,1.6290669227252129e-175
