boardid,year
6052.0,2010
24493.0,2010
19739.0,2010
21105.0,2010
15053.0,2010
18164.0,2010
18164.0,2010
3439.0,2010
1590331.0,2010
31575.0,2010
2573.0,2010
482661.0,2010
20757.0,2010
1349.0,2010
23823.0,2010
23823.0,2010
1534.0,2010
2129.0,2010
32166.0,2010
15207.0,2010
4504.0,2010
12151.0,2010
12164.0,2010
16141.0,2010
1287.0,2010
440155.0,2010
29416.0,2010
29416.0,2010
22965.0,2010
6647.0,2010
15029.0,2010
13020.0,2010
15235.0,2010
6910.0,2010
6910.0,2010
742337.0,2010
9474.0,2010
11074.0,2010
18544.0,2010
18544.0,2010
19713.0,2010
14669.0,2010
31677.0,2010
31677.0,2010
4863.0,2010
6910.0,2010
24706.0,2010
27355.0,2010
5811.0,2010
1938.0,2010
5557.0,2010
814633.0,2010
814633.0,2010
814633.0,2010
814633.0,2010
814633.0,2010
814633.0,2010
814633.0,2010
10928.0,2010
66710.0,2010
27403.0,2010
22412.0,2010
12030.0,2010
9961.0,2010
6779.0,2010
13273.0,2010
440376.0,2010
7443.0,2010
7443.0,2010
745486.0,2010
33006.0,2010
6863.0,2010
16049.0,2010
464072.0,2010
95856.0,2010
7727.0,2010
580845.0,2010
11499.0,2010
16041.0,2010
24515.0,2010
31835.0,2010
16041.0,2010
19181.0,2010
21929.0,2010
8946.0,2010
29774.0,2010
6910.0,2010
3101.0,2010
4730.0,2010
18901.0,2010
10156.0,2010
31815.0,2010
3248.0,2010
462965.0,2010
24355.0,2010
3392.0,2010
28696.0,2010
22404.0,2010
22404.0,2010
22404.0,2010
22981.0,2010
8022.0,2010
493545.0,2010
245286.0,2010
25339.0,2010
502603.0,2010
24343.0,2010
13610.0,2010
16506.0,2010
14955.0,2010
6893.0,2010
3143.0,2010
15486.0,2010
4863.0,2010
1041928.0,2010
23350.0,2010
90132.0,2010
30937.0,2010
1002.0,2010
7483.0,2010
25380.0,2010
7483.0,2010
25380.0,2010
7483.0,2010
7483.0,2010
7483.0,2010
25377.0,2010
813486.0,2010
7293.0,2010
22660.0,2010
90132.0,2010
1606380.0,2010
90132.0,2010
7293.0,2010
15223.0,2010
6612.0,2010
29817.0,2010
130.0,2010
31244.0,2010
31338.0,2010
550890.0,2010
550890.0,2010
6083.0,2010
550890.0,2010
17012.0,2010
20625.0,2010
32507.0,2010
23441.0,2010
20519.0,2010
31326.0,2010
7058.0,2010
259416.0,2010
33048.0,2010
18329.0,2010
31555.0,2010
29978.0,2010
17862.0,2010
17862.0,2010
30662.0,2010
421516.0,2010
29065.0,2010
29065.0,2010
29065.0,2010
29065.0,2010
29065.0,2010
29065.0,2010
30509.0,2010
28041.0,2010
494219.0,2010
21232.0,2010
440155.0,2010
440155.0,2010
18060.0,2010
28.0,2010
28.0,2010
28.0,2010
818089.0,2010
4311.0,2010
20738.0,2010
20738.0,2010
446.0,2010
9503.0,2010
1040122.0,2010
3118.0,2010
14372.0,2010
25634.0,2010
1141059.0,2010
34146.0,2010
1856.0,2010
1856.0,2010
1041928.0,2010
1856.0,2010
27242.0,2010
27242.0,2010
31454.0,2010
643128.0,2010
483173.0,2010
20519.0,2010
5867.0,2010
29924.0,2010
531565.0,2010
29924.0,2010
29924.0,2010
32774.0,2010
1736.0,2010
24138.0,2010
1736.0,2010
22509.0,2010
11099.0,2010
29193.0,2010
6930.0,2010
551122.0,2010
16627.0,2010
462078.0,2010
9926.0,2010
7431.0,2010
6297.0,2010
7431.0,2010
71.0,2010
9926.0,2010
33518.0,2010
6271.0,2010
27981.0,2010
27312.0,2010
10130.0,2010
3210.0,2010
1319.0,2010
2837.0,2010
6877.0,2010
840164.0,2010
16530.0,2010
11652.0,2010
14713.0,2010
114747.0,2010
77289.0,2010
22034.0,2010
6837.0,2010
11652.0,2010
113.0,2010
3415.0,2010
13725.0,2010
3415.0,2010
24356.0,2010
9201.0,2010
33779.0,2010
24356.0,2010
10899.0,2010
21423.0,2010
14079.0,2010
1063138.0,2010
7753.0,2010
14507.0,2010
33026.0,2010
1017.0,2010
14714.0,2010
17241.0,2010
488479.0,2010
864.0,2010
2411.0,2010
33006.0,2010
23441.0,2010
31835.0,2010
24025.0,2010
2490.0,2010
10036.0,2010
3594.0,2010
13564.0,2010
22899.0,2010
790544.0,2010
30889.0,2010
463860.0,2010
465379.0,2010
30889.0,2010
30889.0,2010
7727.0,2010
9023.0,2010
21503.0,2010
21503.0,2010
23817.0,2010
600759.0,2010
21606.0,2010
21503.0,2010
31495.0,2010
17781.0,2010
1060044.0,2010
8468.0,2010
17781.0,2010
17781.0,2010
3244.0,2010
550049.0,2010
18648.0,2010
2043.0,2010
18648.0,2010
550072.0,2010
25377.0,2010
8660.0,2010
8660.0,2010
33104.0,2010
